station_id,longitude,latitude,ground_elevation,total_depth,total_depth2,aquifer,well_use
802Ap1,302916.32,503732.04,18.32,4.4,17,UPPER,Unknown
7986p1,302644,502554,-999,24.2,25.2,U/K,Unknown
818p1,303099.65,503591.36,18.31,12.2,12.2,UPPER,Unknown
818p1,303099.65,503591.36,18.31,12.2,12.2,UPPER,Unknown
818p2,303099.65,503591.36,18.31,5,5,UPPER,Unknown
818p2,303099.65,503591.36,18.31,5,5,UPPER,Unknown
819p1,303128.58,503586.14,18.61,4.15,4.15,UPPER,Unknown
819p1,303128.58,503586.14,18.61,4.15,4.15,UPPER,Unknown
859p1,303121.79,503530.86,17.44,12.2,12.2,UPPER,Unknown
859p1,303121.79,503530.86,17.44,12.2,12.2,UPPER,Unknown
701p1,302090.69,503192.01,5.46,2.5,13.5,LOWER,Unknown
705P1,302280.87,503283.27,18.37,19.6,24.2,LOWER,Unknown
70p1,303168.32,504226.45,25.91,,,U/K,Unknown
722p1,301835.56,503531.77,5.41,4.5,31.5,LOWER,Unknown
719P1,302970.61,503968.08,22.62,8.2,14.5,UPPER,Unknown
731P1,302270.13,503560.83,19.11,9.9,13,UPPER,Unknown
753p1,303293.63,504142.72,25.89,4.5,7,UPPER,Unknown
768p1,302902.75,503812.89,20.26,0.5,11.8,UPPER,Unknown
769P1,302917.04,504041.39,22.86,39.9,45.8,LOWER,Unknown
769P2,302917.04,504041.39,22.86,8,19.3,UPPER,Unknown
770p1,302951.7,503980,22.72,42.3,46,LOWER,Unknown
770P2,302951.7,503980,22.72,23.4,26.5,LOWER,Unknown
770P3,302951.7,503980,22.72,13,19,UPPER,Unknown
771p1,303009.6,503976.03,22.46,51,57,LOWER,Unknown
771P2,303009.6,503976.03,22.46,9.9,15.9,UPPER,Unknown
772p1,302768.48,503635.21,16.94,4.4,10.1,UPPER,Unknown
773p1,302725.51,503703.41,18.04,4.2,18.7,UPPER,Unknown
774p1,302803.49,503605.24,17.39,3.7,12.3,UPPER,Unknown
775p1,302868.46,503610.28,17.88,1.6,7.5,UPPER,Unknown
776p1,302921.98,503604.43,18.42,7.6,8.9,UPPER,Unknown
776p2,302921.98,503604.43,18.42,1.1,6.9,UPPER,Unknown
777P1,302962,503586.76,17.84,2,7.5,UPPER,Unknown
778p1,302231.62,503541.7,19.49,23.5,32.2,LOWER,Unknown
760p1,302903.09,503739.08,19.61,2.6,5.5,UPPER,Unknown
761p1,302781.76,503543.19,16.52,3,8.7,UPPER,Unknown
763p1,302927.4,503901.7,21.17,,,U/K,Unknown
764p1,302939.15,503923.76,21.55,11.8,17.7,UPPER,Unknown
765p1,302933.3,503870.24,20.74,11,17,UPPER,Unknown
766p1,302835.13,503792.27,20.43,14,20,UPPER,Unknown
783P1,302996.44,504067.91,23.24,31,32,LOWER,Unknown
783P2,302996.44,504067.91,23.24,11,27,UPPER,Unknown
783P3,302996.44,504067.91,23.24,5.5,6.5,UPPER,Unknown
757p1,302552.87,503772.7,19.81,12.5,23.9,UPPER,Unknown
QBH01,308867.7,498555.6,7.48,-999,-999,U/K,Unknown
QBH02,308090.4,499029.8,21.57,-999,-999,U/K,Unknown
QBH02A,308090.4,499029.8,21.57,-999,-999,U/K,Unknown
