,STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,UNCERTAINTY
0,9054,Alkalinity,2010-02-24,58.7,mg/l,1.3
1,9054,Alkalinity,2010-04-16,58.7,mg/l,1.3
2,10202,Alkalinity,2010-04-21,63.8,mg/l,1.4
3,9054,Alkalinity,2010-05-06,60.0,mg/l,1.3
4,9054,Alkalinity,2010-06-03,58.3,mg/l,1.3
5,9054,Aluminium,2010-02-24,75.8,µg/l,8.69
6,9054,Aluminium,2010-04-16,0.04,µg/l,0.02
7,10202,Aluminium,2010-04-21,1.16,µg/l,0.08
8,9054,Aluminium,2010-05-06,0.25,µg/l,0.02
9,9054,Aluminium,2010-06-03,0.24,µg/l,0.03
10,9054,Ammonium,2010-02-24,0.0,mg/l,
11,9054,Ammonium,2010-04-16,0.0,mg/l,
12,10202,Ammonium,2010-04-21,0.0,mg/l,
13,9054,Ammonium,2010-05-06,0.0,mg/l,
14,9054,Ammonium,2010-06-03,0.0,mg/l,
15,9054,Antimony,2010-02-24,0.01,µg/l,0.0
16,9054,Antimony,2010-04-16,0.07,µg/l,0.0
17,10202,Antimony,2010-04-21,0.28,µg/l,0.01
18,9054,Antimony,2010-05-06,0.52,µg/l,0.02
19,9054,Antimony,2010-06-03,0.31,µg/l,0.0
20,9054,Antimony-125,2011-01-10,252.82,Bq/m3,
21,9054,Antimony-125,2012-01-10,127.33,Bq/m3,
22,10202,Antimony-125,2012-01-10,293.29,Bq/m3,
23,9054,Antimony-125,2022-01-10,184.8845333,Bq/m3,
24,10202,Antimony-125,2016-01-11,378.7777069,Bq/m3,
25,9054,Antimony-125,2021-01-11,172.9502283,Bq/m3,
26,10202,Antimony-125,2021-01-11,416.9831039,Bq/m3,
27,10202,Antimony-125,2022-01-11,482.3212464,Bq/m3,
28,9054,Antimony-125,2015-01-12,181.11,Bq/m3,
29,10202,Antimony-125,2015-01-12,373.54,Bq/m3,
30,10202,Antimony-125,2020-01-15,425.4184775,Bq/m3,
31,9054,Antimony-125,2020-01-17,170.3497624,Bq/m3,
32,10202,Antimony-125,2023-01-23,433.1592606,Bq/m3,
33,9054,Antimony-125,2023-01-24,168.503624,Bq/m3,
34,9054,Antimony-125,2014-01-07,162.69,Bq/m3,
35,9054,Antimony-125,2013-01-08,148.65,Bq/m3,
36,10202,Antimony-125,2013-01-08,292.59,Bq/m3,
37,10202,Antimony-125,2014-01-08,297.02,Bq/m3,
38,10202,Antimony-125,2012-10-01,369.12,Bq/m3,
39,10202,Antimony-125,2014-10-01,339.85,Bq/m3,
40,10202,Antimony-125,2013-10-10,300.03,Bq/m3,
41,9054,Antimony-125,2016-10-10,160.5369614,Bq/m3,
42,10202,Antimony-125,2016-10-10,342.0833641,Bq/m3,
43,10202,Antimony-125,2017-10-10,361.4725517,Bq/m3,
44,10202,Antimony-125,2022-10-17,450.0729295,Bq/m3,
45,10202,Antimony-125,2021-10-18,519.9304138,Bq/m3,
46,9054,Antimony-125,2022-10-19,187.0329114,Bq/m3,
47,10202,Antimony-125,2023-10-02,477.3106919,Bq/m3,
48,9054,Antimony-125,2019-10-29,175.2499559,Bq/m3,
49,10202,Antimony-125,2011-10-03,284.39,Bq/m3,
50,9054,Antimony-125,2023-10-03,187.0275724,Bq/m3,
51,9054,Antimony-125,2015-10-05,175.38,Bq/m3,
52,10202,Antimony-125,2015-10-05,328.7,Bq/m3,
